FixedRef,AliasTypeID,Primary,LowQuality,ParentRef
25647,1403,true,false,25647
25647,1400,false,true,25647
25647,1400,false,true,25647
25647,1400,false,true,25647
25647,1401,false,false,25647
25647,1401,false,false,25647
25647,1400,false,true,25647
25647,1400,false,false,25647
25647,1401,false,false,25647
25648,1403,true,false,25648
25648,1400,false,true,25648
25649,1403,true,false,25649
25649,1400,false,false,25649
25649,1400,false,false,25649
25650,1403,true,false,25650
25650,1400,false,false,25650
25650,1400,false,false,25650
25650,1400,false,false,25650
25650,1400,false,false,25650
25651,1403,true,false,25651
25651,1400,false,false,25651
25651,1400,false,true,25651
25651,1400,false,true,25651
25651,1400,false,false,25651
25653,1403,true,false,25653
25653,1400,false,false,25653
25653,1400,false,false,25653
25654,1403,true,false,25654
25654,1400,false,true,25654
25654,1400,false,false,25654
25654,1400,false,false,25654
25658,1403,true,false,25658
25658,1400,false,false,25658
25658,1400,false,false,25658
25658,1400,false,true,25658
25659,1403,true,false,25659
25659,1400,false,false,25659
25659,1400,false,false,25659
25659,1400,false,false,25659
25659,1400,false,false,25659
25659,1400,false,true,25659
25659,1400,false,true,25659
25659,1400,false,true,25659
25659,1400,false,true,25659
25660,1403,true,false,25660
25660,1400,false,false,25660
25660,1400,false,false,25660
25660,1400,false,false,25660
25661,1403,true,false,25661
25661,1400,false,true,25661
25661,1400,false,true,25661
25662,1403,true,false,25662
25662,1400,false,false,25662
25662,1400,false,true,25662
25662,1400,false,false,25662
25662,1400,false,false,25662
25663,1403,true,false,25663
25663,1401,false,false,25663
25663,1400,false,false,25663
25663,1400,false,true,25663
25663,1401,false,true,25663
25664,1403,true,false,25664
25664,1400,false,false,25664
25664,1400,false,false,25664
25664,1400,false,false,25664
25664,1400,false,false,25664
25664,1400,false,true,25664
25677,1403,true,false,25677
25677,1400,false,false,25677
25678,1403,true,false,25678
25678,1400,false,false,25678
25678,1400,false,false,25678
25678,1400,false,true,25678
25678,1400,false,true,25678
25678,1400,false,false,25678
25679,1403,true,false,25679
25680,1403,true,false,25680
25680,1401,false,false,25680
25680,1401,false,false,25680
25680,1400,false,false,25680
25681,1403,true,false,25681
25681,1400,false,false,25681
25684,1403,true,false,25684
