NamePartGroupID,NamePartTypeID,ParentRef
6700,1525,36
19387,1525,36
6625,1525,173
18519,1525,173
27628,1525,306
27627,1525,306
18521,1525,306
6639,1525,424
6647,1525,475
6652,1525,480
6658,1525,535
6659,1525,536
6660,1525,537
6661,1525,540
18529,1525,540
6667,1525,551
6668,1525,552
18530,1525,552
6670,1525,555
18532,1525,555
18533,1525,555
6671,1525,559
18534,1525,559
6676,1525,576
6678,1525,578
6684,1525,589
6685,1525,590
6686,1525,591
6687,1525,592
6688,1525,593
6689,1525,621
6690,1525,622
6693,1525,636
6714,1525,651
19391,1525,651
6621,1525,701
6409,1525,702
6412,1525,735
18331,1525,735
61386,1525,751
61387,1525,751
18473,1525,751
6552,1525,758
18486,1525,758
6553,1525,767
6554,1525,768
6563,1525,815
18487,1525,815
6576,1525,906
78217,1525,906
6577,1525,907
6595,1525,1042
6596,1525,1043
6602,1525,1241
6605,1525,1287
18493,1525,1287
18494,1525,1287
6408,1525,1316
6310,1525,1555
6311,1525,1570
6312,1525,1571
6327,1525,1641
6341,1525,1660
6348,1525,1700
6357,1525,1701
6358,1525,1702
6390,1525,1888
6743,1525,2109
19439,1525,2109
6744,1525,2110
19440,1525,2110
6753,1525,2184
6754,1525,2186
71642,1520,2674
71643,1521,2674
19443,1520,2674
19444,1521,2674
71644,1520,2675
71645,1521,2675
71646,1520,2676
71647,1521,2676
19445,1520,2676
19446,1521,2676
19447,1520,2676
19448,1521,2676
19449,1520,2676
19450,1521,2676
71648,1520,2677
71649,1521,2677
83901,1520,2677
83902,1521,2677
19451,1520,2677
19452,1521,2677
83903,1520,2677
83904,1521,2677
83905,1520,2677
83906,1521,2677
83907,1520,2677
83908,1521,2677
83909,1520,2677
83910,1521,2677
71650,1520,2678
71651,1521,2678
71612,1520,2679
71613,1521,2679
71616,1520,2681
71617,1521,2681
19455,1520,2681
19456,1521,2681
19457,1520,2681
19458,1521,2681
19459,1520,2681
19460,1521,2681
71618,1520,2682
71619,1521,2682
71656,1520,2683
71657,1521,2683
19461,1520,2683
19462,1521,2683
71620,1520,2685
71621,1521,2685
71622,1520,2686
71623,1521,2686
24345,1520,2686
24346,1521,2686
24347,1522,2686
71624,1520,2690
71625,1521,2690
71626,1520,2691
71627,1521,2691
6800,1525,3748
6801,1525,3749
19472,1525,3749
6802,1525,3750
6803,1525,3751
71608,1520,3754
71609,1521,3754
19481,1520,3754
19482,1521,3754
19483,1520,3754
19484,1521,3754
19485,1520,3754
19486,1521,3754
19487,1520,3754
19488,1521,3754
19489,1520,3754
19490,1520,3754
19491,1521,3754
6810,1520,4107
6811,1521,4107
19494,1520,4107
19495,1520,4107
6812,1520,4108
6813,1521,4108
19496,1520,4108
19497,1520,4108
19498,1520,4108
19499,1520,4108
19500,1520,4108
19501,1520,4108
19502,1520,4108
19503,1520,4108
19504,1520,4108
19505,1520,4108
2489,1526,4238
