
NamePartGroupID,NamePartTypeID,ParentRef,DistinctPartyRef,NamePartTypeValue
76865,1526,4243,4243,Vessel Name
76838,1526,4243,4243,Vessel Name
85754,1526,4243,4243,Vessel Name
2500,1526,4249,4249,Vessel Name
71654,1520,4257,4257,Last Name
71655,1521,4257,4257,First Name
14532,1520,4257,4257,Last Name
14533,1521,4257,4257,First Name
14534,1520,4257,4257,Last Name
14535,1521,4257,4257,First Name
14536,1520,4257,4257,Last Name
14537,1521,4257,4257,First Name
72606,1525,4632,4632,Entity Name
72604,1525,4632,4632,Entity Name
17555,1525,4632,4632,Entity Name
17556,1525,4632,4632,Entity Name
17557,1525,4632,4632,Entity Name
45272,1525,4633,4633,Entity Name
17558,1525,4633,4633,Entity Name
45042,1525,4635,4635,Entity Name
17559,1525,4635,4635,Entity Name
17560,1525,4635,4635,Entity Name
45274,1525,4639,4639,Entity Name
20397,1525,4639,4639,Entity Name
20398,1525,4639,4639,Entity Name
4346,1525,4642,4642,Entity Name
14066,1525,4642,4642,Entity Name
14065,1525,4642,4642,Entity Name
14067,1525,4642,4642,Entity Name
4371,1525,4688,4688,Entity Name
14098,1525,4688,4688,Entity Name
28832,1525,4690,4690,Entity Name
28833,1525,4690,4690,Entity Name
14104,1525,4690,4690,Entity Name
14105,1525,4690,4690,Entity Name
4374,1525,4691,4691,Entity Name
14106,1525,4691,4691,Entity Name
14107,1525,4691,4691,Entity Name
14108,1525,4691,4691,Entity Name
14109,1525,4691,4691,Entity Name
72416,1525,4693,4693,Entity Name
14110,1525,4693,4693,Entity Name
27642,1525,4693,4693,Entity Name
14112,1525,4693,4693,Entity Name
14113,1525,4693,4693,Entity Name
14114,1525,4693,4693,Entity Name
14115,1525,4693,4693,Entity Name
14116,1525,4693,4693,Entity Name
28849,1525,4693,4693,Entity Name
14118,1525,4693,4693,Entity Name
14119,1525,4693,4693,Entity Name
14120,1525,4693,4693,Entity Name
14121,1525,4693,4693,Entity Name
71628,1525,4694,4694,Entity Name
14122,1525,4694,4694,Entity Name
27451,1525,4694,4694,Entity Name
14124,1525,4694,4694,Entity Name
14125,1525,4694,4694,Entity Name
14126,1525,4694,4694,Entity Name
27452,1525,4694,4694,Entity Name
72266,1525,4695,4695,Entity Name
14128,1525,4695,4695,Entity Name
14129,1525,4695,4695,Entity Name
14130,1525,4695,4695,Entity Name
14131,1525,4695,4695,Entity Name
14132,1525,4695,4695,Entity Name
14133,1525,4695,4695,Entity Name
14134,1525,4695,4695,Entity Name
14135,1525,4695,4695,Entity Name
14136,1525,4695,4695,Entity Name
14137,1525,4695,4695,Entity Name
14138,1525,4695,4695,Entity Name
28718,1525,4696,4696,Entity Name
28719,1525,4696,4696,Entity Name
14140,1525,4696,4696,Entity Name
27635,1525,4696,4696,Entity Name
14142,1525,4696,4696,Entity Name
14143,1525,4696,4696,Entity Name
14144,1525,4696,4696,Entity Name
14145,1525,4696,4696,Entity Name
14146,1525,4696,4696,Entity Name
35183,1525,4696,4696,Entity Name
72269,1525,4697,4697,Entity Name
14147,1525,4697,4697,Entity Name
14148,1525,4697,4697,Entity Name
14149,1525,4697,4697,Entity Name
14150,1525,4697,4697,Entity Name
14151,1525,4697,4697,Entity Name
14152,1525,4697,4697,Entity Name
14153,1525,4697,4697,Entity Name
14154,1525,4697,4697,Entity Name
14155,1525,4697,4697,Entity Name
56210,1525,4697,4697,Entity Name
56211,1525,4697,4697,Entity Name
56212,1525,4697,4697,Entity Name
56213,1525,4697,4697,Entity Name
56214,1525,4697,4697,Entity Name
56222,1525,4697,4697,Entity Name
56216,1525,4697,4697,Entity Name
56217,1525,4697,4697,Entity Name
56218,1525,4697,4697,Entity Name
56219,1525,4697,4697,Entity Name
56220,1525,4697,4697,Entity Name
56221,1525,4697,4697,Entity Name
56223,1525,4697,4697,Entity Name
71630,1525,4700,4700,Entity Name
14156,1525,4700,4700,Entity Name
14157,1525,4700,4700,Entity Name
14158,1525,4700,4700,Entity Name
14159,1525,4700,4700,Entity Name
14160,1525,4700,4700,Entity Name
14161,1525,4700,4700,Entity Name
14162,1525,4700,4700,Entity Name
14163,1525,4700,4700,Entity Name
14164,1525,4700,4700,Entity Name
14165,1525,4700,4700,Entity Name
14166,1525,4700,4700,Entity Name
14167,1525,4700,4700,Entity Name
14168,1525,4700,4700,Entity Name
14169,1525,4700,4700,Entity Name
14170,1525,4700,4700,Entity Name
14171,1525,4700,4700,Entity Name
14172,1525,4700,4700,Entity Name
14173,1525,4700,4700,Entity Name
14174,1525,4700,4700,Entity Name
14175,1525,4700,4700,Entity Name
14176,1525,4700,4700,Entity Name
14177,1525,4700,4700,Entity Name
14178,1525,4700,4700,Entity Name
14179,1525,4700,4700,Entity Name
14180,1525,4700,4700,Entity Name
14181,1525,4700,4700,Entity Name
14182,1525,4700,4700,Entity Name
14183,1525,4700,4700,Entity Name
14184,1525,4700,4700,Entity Name
14185,1525,4700,4700,Entity Name
14186,1525,4700,4700,Entity Name
14187,1525,4700,4700,Entity Name
14188,1525,4700,4700,Entity Name
14189,1525,4700,4700,Entity Name
14190,1525,4700,4700,Entity Name
14191,1525,4700,4700,Entity Name
14192,1525,4700,4700,Entity Name
14193,1525,4700,4700,Entity Name
14194,1525,4700,4700,Entity Name
4381,1525,4702,4702,Entity Name
14196,1525,4702,4702,Entity Name
14197,1525,4702,4702,Entity Name
14198,1525,4702,4702,Entity Name
14199,1525,4702,4702,Entity Name
14200,1525,4702,4702,Entity Name
14201,1525,4702,4702,Entity Name
14202,1525,4702,4702,Entity Name
14203,1525,4702,4702,Entity Name
14204,1525,4702,4702,Entity Name
14205,1525,4702,4702,Entity Name
14195,1525,4702,4702,Entity Name
14206,1525,4702,4702,Entity Name
14207,1525,4702,4702,Entity Name
4382,1525,4703,4703,Entity Name
14208,1525,4703,4703,Entity Name
14209,1525,4703,4703,Entity Name
14210,1525,4703,4703,Entity Name
5592,1525,4706,4706,Entity Name
22032,1525,4706,4706,Entity Name
22033,1525,4706,4706,Entity Name
71637,1525,4707,4707,Entity Name
21928,1525,4707,4707,Entity Name
21929,1525,4707,4707,Entity Name
21930,1525,4707,4707,Entity Name
21931,1525,4707,4707,Entity Name
21932,1525,4707,4707,Entity Name
21933,1525,4707,4707,Entity Name
21934,1525,4707,4707,Entity Name
21935,1525,4707,4707,Entity Name
21936,1525,4707,4707,Entity Name
21937,1525,4707,4707,Entity Name
21938,1525,4707,4707,Entity Name
71638,1525,4708,4708,Entity Name
21939,1525,4708,4708,Entity Name
21940,1525,4708,4708,Entity Name
21941,1525,4708,4708,Entity Name
71639,1525,4709,4709,Entity Name
21942,1525,4709,4709,Entity Name
21943,1525,4709,4709,Entity Name
21944,1525,4709,4709,Entity Name
21945,1525,4709,4709,Entity Name
21946,1525,4709,4709,Entity Name
21947,1525,4709,4709,Entity Name
21948,1525,4709,4709,Entity Name
21949,1525,4709,4709,Entity Name
21950,1525,4709,4709,Entity Name
71640,1525,4710,4710,Entity Name
21951,1525,4710,4710,Entity Name
5522,1525,4713,4713,Entity Name
21956,1525,4713,4713,Entity Name
21957,1525,4713,4713,Entity Name
21958,1525,4713,4713,Entity Name
21959,1525,4713,4713,Entity Name
21960,1525,4713,4713,Entity Name
21961,1525,4713,4713,Entity Name
21962,1525,4713,4713,Entity Name
21963,1525,4713,4713,Entity Name
27646,1525,4714,4714,Entity Name
21964,1525,4714,4714,Entity Name
27644,1525,4714,4714,Entity Name
21966,1525,4714,4714,Entity Name
21967,1525,4714,4714,Entity Name
27645,1525,4714,4714,Entity Name
21969,1525,4714,4714,Entity Name
21970,1525,4714,4714,Entity Name
21971,1525,4714,4714,Entity Name
21972,1525,4714,4714,Entity Name
34430,1525,4715,4715,Entity Name
21973,1525,4715,4715,Entity Name
27659,1525,4715,4715,Entity Name
21975,1525,4715,4715,Entity Name
21976,1525,4715,4715,Entity Name
28839,1525,4715,4715,Entity Name
21978,1525,4715,4715,Entity Name
21979,1525,4715,4715,Entity Name
21980,1525,4715,4715,Entity Name
21981,1525,4715,4715,Entity Name
21982,1525,4715,4715,Entity Name
28840,1525,4715,4715,Entity Name
21984,1525,4715,4715,Entity Name
21985,1525,4715,4715,Entity Name
21986,1525,4715,4715,Entity Name
21987,1525,4715,4715,Entity Name
21988,1525,4715,4715,Entity Name
71641,1525,4717,4717,Entity Name
21989,1525,4717,4717,Entity Name
21990,1525,4717,4717,Entity Name
21991,1525,4717,4717,Entity Name
21992,1525,4717,4717,Entity Name
71633,1520,6365,6365,Last Name
71634,1521,6365,6365,First Name
21886,1520,6365,6365,Last Name
21887,1521,6365,6365,First Name
21888,1520,6365,6365,Last Name
21889,1521,6365,6365,First Name
21890,1520,6365,6365,Last Name
21891,1521,6365,6365,First Name
21892,1520,6365,6365,Last Name
21893,1521,6365,6365,First Name
21894,1520,6365,6365,Last Name
21895,1521,6365,6365,First Name
72267,1525,6366,6366,Entity Name
21897,1525,6366,6366,Entity Name
21898,1525,6366,6366,Entity Name
21899,1525,6366,6366,Entity Name
21900,1525,6366,6366,Entity Name
21901,1525,6366,6366,Entity Name
21902,1525,6366,6366,Entity Name
21903,1525,6366,6366,Entity Name
21904,1525,6366,6366,Entity Name
21905,1525,6366,6366,Entity Name
21906,1525,6366,6366,Entity Name
21907,1525,6366,6366,Entity Name
21908,1525,6366,6366,Entity Name
21909,1525,6366,6366,Entity Name
21910,1525,6366,6366,Entity Name
21911,1525,6366,6366,Entity Name
21912,1525,6366,6366,Entity Name
45611,1525,6366,6366,Entity Name
71610,1520,6367,6367,Last Name
71611,1521,6367,6367,First Name
19270,1520,6367,6367,Last Name
19271,1521,6367,6367,First Name
19272,1520,6367,6367,Last Name
19273,1521,6367,6367,First Name
19274,1520,6367,6367,Last Name
19275,1521,6367,6367,First Name
19276,1520,6367,6367,Last Name
19277,1520,6367,6367,Last Name
19278,1520,6367,6367,Last Name
19279,1521,6367,6367,First Name
19280,1520,6367,6367,Last Name
19281,1521,6367,6367,First Name
19282,1520,6367,6367,Last Name
19283,1521,6367,6367,First Name
71635,1520,6368,6368,Last Name
71636,1521,6368,6368,First Name
21913,1520,6368,6368,Last Name
21914,1520,6368,6368,Last Name
21915,1521,6368,6368,First Name
21916,1520,6368,6368,Last Name
21917,1520,6368,6368,Last Name
21918,1521,6368,6368,First Name
21919,1520,6368,6368,Last Name
21920,1521,6368,6368,First Name
21921,1520,6368,6368,Last Name
21922,1521,6368,6368,First Name
21923,1520,6368,6368,Last Name
4831,1525,6531,6531,Entity Name
