ID,AreaCodeID,CountryID,CountryRelevanceID,Values,FeatureVersionID
20072,11291,N/A,N/A,,220072
20074,11291,N/A,N/A,,220074
20090,11291,N/A,N/A,,220090
20078,11197,11197,1413,,220078
20080,11197,11197,1413,,220080
20082,11197,11197,1413,"Cham Holding Building, Daraa Highway, Sahnaya Area, P.O. Box 9525, Damascus",220082
20084,11197,11197,1413,"Cham Holding Building, Daraa Highway, Sahnaya Area, P.O. Box 9525, P.O. Box 9525, Damascus, Syria",220084
20091,11197,11197,1413,Damascus,220091
20087,11291,N/A,N/A,,220087
20088,11291,N/A,N/A,,220088
20089,11291,N/A,N/A,,220089
20092,11143,11143,1413,Sinaloa,220092
20093,11143,11143,1413,Sonora,220093
20094,11143,11143,1413,"Mexicali, Baja California",220094
20095,11291,N/A,N/A,,220095
20096,11291,N/A,N/A,,220096
20097,11291,N/A,N/A,,220097
20098,11291,N/A,N/A,,220098
20121,11291,N/A,N/A,,220121
20122,11291,N/A,N/A,,220122
20172,11143,11143,1413,"Joaquin Aguirre 788, Guadalajara, Jalisco",220172
20171,11143,11143,1413,"Guadalajara, Jalisco",220171
20168,11143,11143,1413,"Manuel Clouthier #486, Colonia Prados Vallarta, Guadalajara, Jalisco",220168
20169,11143,11143,1413,"Plaza Del Sol Local #28, Zona R, Guadalajara, Jalisco",220169
20170,11143,11143,1413,"Paseo Del Heliotropo 3426, Monraz, Guadalajara, Jalisco",220170
20165,11143,11143,1413,"Manuel Clouthier #486, Colonia Prados Vallarta, Guadalajara, Jalisco",220165
20166,11143,11143,1413,"Plaza Del Sol Local #28, Zona R, Guadalajara, Jalisco",220166
20167,11143,11143,1413,"Paseo Del Heliotropo 3426, Monraz, Guadalajara, Jalisco",220167
20173,11291,N/A,N/A,,220173
20931,11291,N/A,N/A,,220931
66477,11109,11109,1413,,266477
20190,11109,11109,1413,"Ziba Building, 10th floor, North Sohrevardi Street, Tehran",220190
20191,11291,N/A,N/A,,220191
20192,11291,N/A,N/A,,220192
20193,11291,N/A,N/A,,220193
20194,11291,N/A,N/A,,220194
20218,11109,11109,1413,"No. 18, Iranian Building, 14th Alley, Ahmad Qassir Street, Argentina Square, Tehran",220218
20219,11109,11109,1413,"No. 48, 14th Alley, Ahmad Qassir Street, Argentina Square, Tehran",220219
20221,11109,11109,1413,"No. 80, Tidewater Building, Vozara Street, Next to Saie Park, Tehran",220221
20255,11291,N/A,N/A,,220255
20242,11197,11197,1413,Damascus,220242
20258,11115,11115,1413,,220258
20249,11113,11113,1413,Naples,220249
20250,11113,11113,1413,Campania,220250
20278,11291,N/A,N/A,,220278
20310,11291,N/A,N/A,,220310
20301,11291,N/A,N/A,,220301
20303,11291,N/A,N/A,,220303
20304,11291,N/A,N/A,,220304
20305,11291,N/A,N/A,,220305
20306,11291,N/A,N/A,,220306
20307,11291,N/A,N/A,,220307
43953,11197,11197,1413,,243953
